transaction_id,user_id,merchant,amount,date
1,121,Google,125.71,2024-05-10
2,338,eBay,31.82,2024-09-24
3,47,Uber,103.07,2024-10-17
4,108,Target,90.16,2024-10-01
5,159,Uber,63.28,2024-09-07
6,155,Walmart,51.41,2024-09-10
7,455,Microsoft,232.48,2024-04-22
8,400,Uber,46.99,2024-04-11
9,458,Costco,169.37,2024-04-04
10,498,eBay,65.3,2024-12-31
11,40,Apple,114.46,2024-01-11
12,72,Costco,205.68,2024-07-12
13,434,Walmart,151.69,2024-06-02
14,40,Google,47.12,2024-02-17
15,83,Amazon,72.26,2024-07-19
16,91,Uber,238.36,2024-12-25
17,457,Amazon,40.52,2024-07-27
18,180,Apple,56.38,2024-07-01
19,132,Microsoft,42.31,2024-01-26
20,85,BestBuy,102.23,2024-11-29
21,230,Starbucks,61.61,2024-11-17
22,295,Target,151.12,2024-11-06
23,401,Amazon,123.3,2024-07-17
24,309,Uber,70.04,2024-02-22
25,494,Google,34.63,2024-05-25
26,53,BestBuy,80.39,2024-03-12
27,244,Walmart,52.22,2024-04-01
28,283,Google,70.54,2024-01-08
29,344,Starbucks,81.87,2024-02-06
30,3,Target,36.5,2024-04-13
31,102,BestBuy,102.5,2024-02-16
32,233,Costco,40.76,2024-07-17
33,34,Netflix,207.69,2024-10-12
34,488,eBay,23.26,2024-11-13
35,321,Netflix,37.77,2024-10-09
36,400,eBay,106.84,2024-03-06
37,258,Apple,99.8,2024-08-15
38,299,Microsoft,220.96,2024-04-11
39,173,Apple,204.35,2024-09-03
40,163,Apple,117.86,2024-04-05
41,65,Uber,179.58,2024-09-09
42,104,eBay,28.46,2024-11-06
43,384,BestBuy,145.95,2024-06-27
44,222,Uber,76.91,2024-03-10
45,414,Starbucks,78.64,2024-09-25
46,140,Amazon,63.94,2024-11-20
47,361,Costco,272.96,2024-05-30
48,438,Uber,102.17,2024-08-04
49,415,eBay,275.43,2024-01-05
50,107,Apple,122.15,2024-04-29
51,184,Walmart,84.19,2024-06-12
52,138,Microsoft,167.07,2024-10-27
53,400,Costco,225.22,2024-02-23
54,404,Starbucks,175.78,2024-12-01
55,222,Google,166.07,2024-02-19
56,135,Amazon,82.91,2024-02-07
57,33,BestBuy,42.95,2024-05-28
58,135,Costco,66.19,2024-05-10
59,76,Google,40.45,2024-02-16
60,36,Amazon,87.18,2024-10-29
61,392,Uber,83.56,2024-07-22
62,234,Starbucks,143.7,2024-09-11
63,485,Apple,137.63,2024-07-01
64,133,Starbucks,162.71,2024-08-22
65,193,Netflix,117.19,2024-02-23
66,445,Google,43.02,2024-06-12
67,309,Starbucks,144.83,2024-05-03
68,144,Target,30.19,2024-07-11
69,186,Costco,108.6,2024-01-26
70,387,Starbucks,112.35,2024-02-28
71,182,Starbucks,155.71,2024-08-15
72,244,Starbucks,37.31,2024-12-26
73,245,Uber,76.57,2024-02-13
74,235,Costco,152.93,2024-03-11
75,244,BestBuy,96.15,2024-08-29
76,483,Amazon,103.85,2024-01-29
77,121,Starbucks,140.72,2024-08-13
78,450,BestBuy,91.54,2024-08-06
79,98,Amazon,166.81,2024-08-23
80,40,Amazon,18.25,2024-12-28
81,159,eBay,71.07,2024-08-26
82,123,Amazon,56.97,2024-03-22
83,320,eBay,101.69,2024-02-26
84,93,BestBuy,76.88,2024-11-05
85,103,Walmart,156.05,2024-10-11
86,453,Costco,192.43,2024-12-23
87,407,BestBuy,92.75,2024-11-20
88,277,Apple,85.06,2024-01-06
89,458,Starbucks,70.89,2024-06-13
90,186,Starbucks,32.39,2024-03-01
91,36,Starbucks,88.32,2024-01-04
92,417,Starbucks,176.43,2024-04-03
93,45,Apple,56.74,2024-03-19
94,175,Target,86.63,2024-08-06
95,230,Microsoft,163.94,2024-02-18
96,341,BestBuy,64.26,2024-09-02
97,62,Apple,48.22,2024-11-17
98,115,Netflix,114.55,2024-12-21
99,43,Costco,48.75,2024-04-25
100,12,Microsoft,83.5,2024-10-31
101,91,BestBuy,115.13,2024-06-19
102,349,Uber,56.29,2024-09-29
103,271,Amazon,46.93,2024-09-22
104,169,Starbucks,150.99,2024-01-10
105,344,Starbucks,91.61,2024-02-09
106,171,Google,264.55,2024-07-15
107,496,Apple,178.1,2024-04-29
108,138,Google,237.02,2024-11-16
109,340,Starbucks,107.43,2024-10-19
110,126,Target,170.81,2024-07-13
111,286,Starbucks,61.03,2024-09-16
112,286,Starbucks,71.26,2024-05-22
113,459,Target,99.92,2024-12-17
114,167,Walmart,96.36,2024-10-28
115,54,Google,96.37,2024-01-27
116,213,Starbucks,68.77,2024-03-09
117,304,Uber,121.62,2024-08-06
118,101,eBay,68.36,2024-10-27
119,499,Microsoft,43.91,2024-12-14
120,253,Amazon,245.28,2024-07-18
121,248,Apple,58.48,2024-07-01
122,293,Microsoft,58.36,2024-06-15
123,280,Uber,43.33,2024-10-09
124,211,Starbucks,62.63,2024-11-07
125,277,Target,40.0,2024-10-27
126,202,Apple,17.75,2024-07-25
127,497,Apple,73.41,2024-10-24
128,472,Costco,66.82,2024-08-11
129,274,Costco,121.89,2024-11-11
130,25,Netflix,140.53,2024-11-06
131,172,Amazon,124.63,2024-10-29
132,164,Amazon,45.36,2024-01-19
133,333,Netflix,89.34,2024-08-30
134,260,Amazon,42.82,2024-06-22
135,64,Target,102.16,2024-09-13
136,300,Apple,50.13,2024-04-18
137,7,Target,105.17,2024-06-30
138,22,Microsoft,21.66,2024-09-10
139,8,Apple,65.39,2024-07-10
140,121,Costco,81.34,2024-11-09
141,468,Microsoft,111.9,2024-05-10
142,28,Costco,214.62,2024-05-23
143,301,Target,114.35,2024-02-25
144,4,Netflix,66.27,2024-07-15
145,25,Microsoft,158.3,2024-12-07
146,162,Google,25.52,2024-11-07
147,82,Target,48.17,2024-03-08
148,204,Microsoft,129.19,2024-09-22
149,27,BestBuy,231.78,2024-03-23
150,430,BestBuy,50.87,2024-02-14
151,227,Apple,65.21,2024-10-07
152,7,Microsoft,43.99,2024-11-20
153,1,Starbucks,41.05,2024-07-20
154,359,Microsoft,171.83,2024-04-21
155,182,eBay,96.05,2024-10-19
156,229,Netflix,85.69,2024-11-05
157,339,Costco,67.74,2024-08-18
158,295,Uber,68.54,2024-09-16
159,340,Starbucks,112.85,2024-07-03
160,74,Google,162.94,2024-07-25
161,383,Target,24.26,2024-11-13
162,401,Starbucks,48.47,2024-04-23
163,277,Costco,68.72,2024-04-04
164,190,Apple,161.08,2024-05-06
165,146,BestBuy,109.83,2024-08-16
166,205,Target,29.21,2024-05-03
167,390,Walmart,70.58,2024-07-29
168,283,Netflix,202.12,2024-03-29
169,95,BestBuy,44.2,2024-06-08
170,131,eBay,145.39,2024-11-28
171,96,Walmart,159.02,2024-10-05
172,219,Google,110.62,2024-04-02
173,146,BestBuy,46.34,2024-06-13
174,68,Target,101.38,2024-11-25
175,323,Amazon,28.29,2024-03-14
176,352,Starbucks,22.83,2024-12-03
177,169,Apple,94.42,2024-03-22
178,51,Walmart,206.58,2024-04-26
179,203,Amazon,51.75,2024-11-05
180,140,Google,80.9,2024-04-29
181,191,Costco,96.23,2024-04-19
182,110,Walmart,37.54,2024-10-06
183,17,Walmart,135.91,2024-09-01
184,66,BestBuy,53.53,2024-04-04
185,425,Costco,134.34,2024-07-11
186,275,Costco,66.68,2024-04-06
187,271,Microsoft,213.58,2024-05-28
188,99,Starbucks,49.0,2024-02-25
189,342,Amazon,48.19,2024-05-21
190,376,eBay,43.97,2024-01-10
191,467,Apple,24.81,2024-12-08
192,140,Apple,50.46,2024-08-02
193,6,eBay,245.02,2024-07-17
194,485,BestBuy,195.72,2024-10-23
195,446,Starbucks,95.63,2024-06-03
196,283,Starbucks,104.96,2024-05-23
197,497,BestBuy,169.16,2024-10-14
